"SKU";"Produit";"Catégorie";"Prix de gros HT (€)";"Minimum de commande configuré";"Stock initial";"Qté petit présentoir";"Qté présentoir moyen";"Qté grand présentoir";"Présentoirs";"Prix cohérent";"Image"
"CH1200";"Charger A018/CH1200 20W PD White";"Chargeurs secteur";"2.50";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/133751-home_default/adaptateur-secteur-type-c-20w-pd-d-power-a018-blanc.jpg"
"J8266";"Charger J8266 QC3,0+PD 20W";"Chargeurs secteur";"5.00";"4";"100";"0";"4";"4";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/81723-home_default/adaptateur-secteur-20w-usb-a-usb-c-d-power-j8266.jpg"
"J8269";"Charger J8269 PD+QC 40W 2USB+2USB-C White";"Chargeurs secteur";"6.50";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/89207-home_default/chargeur-pdqc-2usb-2usb-c-40w-d-power-j8269-blanc.jpg"
"J8501";"Charger J8501 White Fast";"Chargeurs secteur";"2.50";"5";"100";"0";"5";"5";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41912-home_default/adaptateur-secteur-usb-a-recharge-rapide-d-power-j8501-blanc.jpg"
"J8505";"Charger J8505 IP 1A White";"Chargeurs secteur";"2.50";"5";"100";"0";"5";"5";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41920-home_default/kit-chargeur-lightning-a-recharge-rapide-d-power-j80505-1a-blanc-.jpg"
"J8512";"Charger J8512 White / J8003 Black 2Usb 2,4A";"Chargeurs secteur";"2.90";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/41931-home_default/adaptateur-secteur-2-ports-usb-24a-d-power-j8512-blanc.jpg"
"J8514";"Charger J8514 White Micro";"Chargeurs secteur";"3.50";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/41935-home_default/kit-chargeur-usb-micro-d-power-j8514-blanc.jpg"
"J8516";"Charger J8516 White Type-C";"Chargeurs secteur";"3.70";"4";"100";"0";"4";"4";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41936-home_default/kit-chargeur-usb-usb-c-d-power-j8516-blanc.jpg"
"J8518";"Charger J8518 White";"Chargeurs secteur";"1.50";"6";"100";"6";"6";"6";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/42023-home_default/adaptateur-secteur-usb-d-power-j8518-blanc.jpg"
"J8540";"Charger J8540 20W PD";"Chargeurs secteur";"3.50";"4";"100";"4";"4";"4";"Petit présentoir comptoir | Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41954-home_default/adaptateur-secteur-type-c-20w-pd-d-power-j8540-blanc.jpg"
"J8542";"Charger J8542 20W PD+Usb-c to IP";"Chargeurs secteur";"5.00";"3";"100";"0";"3";"3";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41955-home_default/kit-chargeur-type-c-lightning-20w-pd-d-power-j8542-blanc.jpg"
"J8544";"Charger J8544 25W PD White";"Chargeurs secteur";"4.00";"4";"100";"0";"4";"4";"Présentoir moyen | Grand présentoir";"Oui";"https://lcd-phone.com/41983-home_default/adaptateur-secteur-type-c-25w-pd-d-power-j8544-blanc.jpg"
"J8503";"Car charger J8503 White 2 Ports";"Chargeurs voiture";"2.20";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/41882-home_default/chargeur-allume-cigare-2-ports-usb-d-power-j8503-blanc.jpg"
"J8507";"Car charger J8507 White PD 38W";"Chargeurs voiture";"3.70";"4";"100";"0";"0";"4";"Grand présentoir";"Oui";"https://lcd-phone.com/41893-home_default/chargeur-allume-cigare-2-ports-usb-type-c-d-power-j8507-blanc.jpg"
"J8509";"J8509 Car Charger USB + C FM";"Chargeurs voiture";"5.90";"3";"100";"0";"0";"2";"Grand présentoir";"Oui";"https://lcd-phone.com/71436-home_default/transmetteur-fm-bluetooth-audio-et-chargeur-usb-rapide-20w-d-power-j8509-noir.jpg"
